Price,Address,Square Footage,Year Built,Bed Rooms,Style,Basement,Distance to City Core(KM),Quadrant
979000,"5023 21 Avenue NW, Calgary, Alberta T3B 0X3",1809.5,2023,4,2,Finished,9.7,NW
929000,"5236 22 Avenue NW, Calgary, Alberta T3B 0Y9",1633.1,2023,4,3,Finished,9.7,NW
599900,"5655 Dalhousie Drive NW, Calgary, Alberta T3A1Y5",1218,1973,3,1,Finished,13.7,NW
699000,"5727 DALCASTLE Crescent NW, Calgary, Alberta T3A 1R7",1175.7,1974,3,2,Finished,14.1,NW
1400000,"61 Hampstead Mews NW, Calgary, Alberta T3A 2Z5",3176.45,2023,5,2,Finished,17.1,NW
1125000,"72 Edgehill Crescent NW, Calgary, Alberta T3A 2X6",3042,1980,4,2,Finished,13.9,NW
1400000,"75 Bowdale Crescent NW, Calgary, Alberta T3B1J2",901,1952,2,1,Finished,12.1,NW
499900,"85 Edgehill Drive NW, Calgary, Alberta T3A 2W1",1200,1981,2,2,Finished,15.1,NW
799900,"95 Tuscany Hills Road NW, Calgary, Alberta T3L1Z9",1956,1996,4,2,Finished,20.8,NW
1629900,"114 Rock Lake Heights NW, Calgary, Alberta T3G 0G3",3039,2020,5,2,Finished,24,NW
1278900,"13 Royal Birch Cove NW, Calgary, Alberta T3G 5P9",2240,2023,3,1,Finished,23,NW
679900,"14 Tuscany Ravine Terrace NW, Calgary, Alberta T3L2T1",1575,2001,4,2,Finished,19.9,NW
799999,"159 Schiller Crescent NW, Calgary, Alberta T3L 1W9",2678,1997,4,2,Finished,17.5,NW
1250000,"195 Hamptons Terrace NW, Calgary, Alberta T3A 5S3",2659,1997,4,2,Finished,20,NW
799000,"210 Royal Oak Bay NW, Calgary, Alberta T3G 6A4",2257,2005,4,2,Finished,22.9,NW
1199000,"228 EDGEBROOK Gardens NW, Calgary, Alberta T3A 4Z9",2601.22,1991,4,2,Finished,14.9,NW
1339000,"23 Cheltenham Road NW, Calgary, Alberta T2L 0M4",2571,1958,4,2,Finished,7.2,NW
779000,"234 Edgepark Way NW, Calgary, Alberta T3A 4S8",2069,1989,4,2,Finished,17.3,NW
799000,"319 Royal Oak Heath NW, Calgary, Alberta T3G 0B6",2266.5,2007,5,2,Finished,22,NW
999999,"3304 Copithorne Road NW, Calgary, Alberta T2L 0L3",1809,1967,3,2,Finished,7.3,NW
